id,name,author,genre,seria,rating,count_page,language,content,img_url
0,"Диетологи, я вам не верю! Книга-разоблачение",Воронин Андрей,Медицина и здоровье,,9.95,3,Русский,"    Прочитай и похудей. И узнай, что реклама еды по вечерам на ТВ, что раздельное питание по 5 раз в день по рекомендации диетологов, что подсластители и усилители вкуса – это всё стратегия доведения населения до саморазрушения посредством переедания, которое ведет к затратам на еду, покупку диет и на лечение болезней. Взять хотя бы заговор пищевой индустрии, который заключается в том, что производители и собственники бизнеса в сфере пищевого производства нацелены лишь на большие продажи, но не на сохранение здоровья нации. В рамках законодательства представители пищевой промышленности используют максимальное количество пищевых красителей, усилителей вкуса и прочих химических элементов, которые сохраняют презентабельный вид продукта, но не его полезные свойства.   ",https://www.litmir.me/data/Book/0/684000/684143/BC4_1593543071.jpg
1,Гарри Поттер и Кубок огня,Роулинг Джоан Кэтлин,Зарубежное фэнтези Фэнтези,Гарри Поттер #4,9.75,14,Русский," Гарри Поттеру предстоит четвёртый год обучения в Школе чародейства и волшебства «Хогвартс». Новые заклинания, новые зелья, новые учителя, новые предметы… Всё это знакомо, и Гарри с нетерпением ожидает начала учебного года. Но на школу внезапно обрушивается потрясающая новость: в этом году в Хогвартсе будет проходить Турнир Трёх Волшебников, и конечно же, каждый хочет принять в нём участие…",https://www.litmir.me/data/Book/0/164000/164713/BC4_1595686990.jpg
2,Гарри Поттер и узник Азкабана,Роулинг Джоан Кэтлин,Зарубежное фэнтези Фэнтези,Гарри Поттер #3,9.74,8,Русский,"Двенадцать долгих лет в Азкабане - мрачной тюрьме волшебного мира - содержался всем известный узник по имени Сириус Блэк. Его обвиняли в убийстве тринадцати человек и считали наследником лорда Волан-де-Морта. И вот он бежал, и из оставленных им следов ясно, что на этот раз убийца поставил целью избавиться от Гарри Поттера. Теперь Гарри в опасности, даже за стенами своей волшебной школы, даже в окружении друзей - потому что среди них есть предатель, готовый открыть убийце путь в Хогвартс.",https://www.litmir.me/data/Book/0/37000/37514/BC4_1597200430.jpg
3,В списках не значился,Васильев Борис Львович,Книги о войне Классическая литература,,9.73,13,Русский,"На крайнем западе нашей страны стоит Брестская крепость. Совсем недалеко от Москвы: меньше суток идет поезд.  Здесь громко не говорят: слишком оглушающими были дни сорок первого года и слишком многое помнят эти камни. Сдержанные экскурсоводы сопровождают группы по местам боев, и вы можете спуститься в подвалы 333-го полка, прикоснуться к оплавленным огнеметами кирпичам, пройти к Тереспольским и Холмским воротам или молча постоять под сводами бывшего костела.  Крепость не пала. Крепость истекла кровью. Историки не любят легенд, но вам непременно расскажут о неизвестном защитнике, которого немцам удалось взять только на десятом месяце войны. На десятом, в апреле 1942 года. Почти год сражался этот человек. Год боев в неизвестности, без соседей слева и справа, без приказов и тылов, без смены и писем из дома. Время не донесло ни его имени, ни звания, но мы знаем, что это был русский солдат... ",https://www.litmir.me/data/Book/0/29000/29094/BC4_1597524492.jpg
4,Гарри Поттер и философский камень,Роулинг Джоан Кэтлин,Зарубежное фэнтези Фэнтези,Гарри Поттер #1,9.73,6,Русский," Одиннадцатилетний мальчик-сирота Гарри Поттер живет в семье своей тетки и даже не подозревает, что он — настоящий волшебник. Но однажды прилетает сова с письмом для него, и жизнь Гарри Поттера изменяется навсегда. Он узнает, что зачислен в Школу чародейства и волшебства, выясняет правду о загадочной смерти своих родителей, а в результате ему удается раскрыть секрет философского камня.",https://www.litmir.me/data/Book/0/140000/140736/BC4_1596055093.jpg
5,Гарри Поттер и Тайная комната,Роулинг Джоан Кэтлин,Зарубежное фэнтези Фэнтези,Гарри Поттер #2,9.72,7,Русский,"Это вторая книга о приключениях Гарри Поттера. Он снова вступает в отчаянную схватку со злом. На этот раз враг его так силён, что надежды на победу почти нет. В Школе чародейства и волшебства «Хогвартс» происходят тревожные события. Кто-то нападает на учеников школы, и преподаватели подозревают, что это таинственное чудовище, которое скрывается в легендарной Тайной комнате. Гарри Поттер и его друзья разгадывают загадку Тайной комнаты, и теперь Гарри снова предстоит сразиться с лордом Волан-де-Мортом. Сумеет ли он победить на этот раз?",https://www.litmir.me/data/Book/0/140000/140742/BC4_1596054730.jpg
6,Гарри Поттер и Принц-полукровка,Роулинг Джоан Кэтлин,Зарубежное фэнтези Фэнтези,Гарри Поттер #6,9.72,12,Русский,"Министерство магии терпит поражение за поражением в битвах с Волан-де-Мортом. Даже маглы страдают от второй войны - каждый день происходят катастрофы, причины которых никому не ведомы. Орден Феникса теряет в сражениях с Пожирателями смерти своих лучших волшебников. Но и на войне жизнь продолжается. Гарри, Рон и Гермиона, как и все шестнадцатилетние, учатся, ходят на вечеринки и влюбляются. Однако опасность все ближе и ближе. Несмотря на все усилия Дамблдора по защите школы, в Хогвартсе происходят очень странные события. Омут памяти на этот раз откроет Гарри самую большую тайну Темного Лорда, и ради того, чтобы победить, Гарри вынужден пожертвовать самым дорогим... Какую же сторону в этой войне примет загадочный Принц-полукровка?",https://www.litmir.me/data/Book/0/136000/136733/BC4_1596117671.jpg
7,Три мушкетера (ил. М.Лелуара),Дюма Александр,Исторические приключения,Три мушкетера #1 Классика литературы и классика иллюстраций,9.71,34,Русский,,https://www.litmir.me/data/Book/0/166000/166003/BC4_1595668090.jpg
8,Мадонна с пайковым хлебом,Глушко Мария Васильевна,Современная проза,,9.7,61,Русский,,https://www.litmir.me/data/Book/0/161000/161157/BC4_1491162262.jpg
9,Гарри Поттер и Дары Смерти,Роулинг Джоан Кэтлин,Зарубежное фэнтези Фэнтези,Гарри Поттер #7,9.69,13,Русский,"Гарри Поттера ждёт самое страшное испытание в жизни — смертельная схватка с Волан-де-Мортом. Ждать помощи не от кого — Гарри одинок как никогда. Друзья и враги Гарри предстают в совершенно неожиданном свете. Граница между Добром и Злом становится всё призрачнее… В седьмой, финальной книге Дж. К. Ролинг раскрывает все магические тайны.",https://www.litmir.me/data/Book/0/140000/140707/BC4_1596056110.jpg
