adress,number,email,social_netwoks,undegroud,latitude,logitute,offical_site,id,name,img_url,content
"Москва , Литовский б-р, 7",74954255511,,,Ясенево ,,,,0,Культурный центр «Вдохновение»,https://www.2do2go.ru/uploads/358057ac911e7acf1c51148f4f51bd07_w500_h500.jpg,"В культурном центре&nbsp;&laquo;Вдохновение&raquo;&nbsp;(бывшем кинотеатре &laquo;Ханой&raquo;) организовываются культурные мероприятия как для детей, так и для взрослых, при поддержке Правительства Москвы совместно с Домом детских общественных организаций. Посетителям предлагаются киноклубы, клубы по интересам, кружки и студии, выставки, фестивали авторской песни и многое другое. Книжные ярмарки, Новогодние елки и викторины &ndash; все это также ждет зрителей в Большом зале культурного центра. А уютное помещение Малого зала стало площадкой для камерных концертов."
"Москва , ул. Брестская 2-я, 6",,,,Третий этаж ,,,,1,Архитектурно-строительный центр «Дом на Брестской»,https://www.2do2go.ru/uploads/e7b6798731711143ce3091f7f5bef326_w500_h500.jpg,"Архитектурно-строительный центр &laquo;Дом на Брестской&raquo; &ndash; информационный, консультационный и экспозиционный центр, на базе которого проходят выставки, презентации, конференции, демонстрирующие последние достижения в области индустрии строительства и архитектурные новинки.&nbsp;Ежегодно реализуются выставочные проекты, посвященные ландшафтному &nbsp;дизайну, домоводству, экологии.&nbsp;Также здесь представлен генеральный план развития Москвы. На этой площадке производители и поставщики строительных и отделочных материалов, а также специалисты в области архитектуры могут найти клиентов и деловых партнеров.&nbsp; "
"Москва , пер. Переведеновский, 18",74992653926 74992650318,pr@fabrikacci.com,,Электрозаводская ,,,http://www.fabrikacci.com,2,Центр творческих индустрий «Фабрика»,https://www.2do2go.ru/uploads/3edebc1233908323ee842cac74034572_w500_h500.jpg,"«Фабрика» – один из столичных культурных центров. Является центром творческих индустрий, где каждый может найти подходящее для него занятие в свободное время. Здесь свою обучающую деятельность ведут самые разные творческие мастерские: от архитектурных и дизайнерских до студий танца, театра и мультипликации. Здесь работают такие именитые люди, как: Вы без труда сможете попасть к ним на занятия и мастер-классы."
"Москва , ул. Косыгина, 17",74959391450,,https://vk.com/dvorecpionerov,"<a href=""tel:74959391450""",,,http://dvorec-pionerov.ru,3,Московский Дворец пионеров на Воробьевых горах,https://www.2do2go.ru/uploads/0e8f4aaf985060e2926d570a9fd93deb_w500_h500.jpg,"Дворец творчества на Воробьевых горах был открыт в 1936 году. Тогда, как и сейчас, Дом пионеров был многопрофильным учреждением, где дети могли посещать разные кружки и занятия. Сегодня это современный комплекс, который предлагает целый спектр услуг для творчества и развития научной деятельности. Во дворце находятся исследовательские лаборатории, технические и художественные мастерские, студии. Здесь трудятся спортивные секции и школы, творческие коллективы, кружки для взрослых и детей, группы развития. Обучение по образовательным предметам на базе Дворца творчества в большинстве случаев бесплатное. От разных кружков и организаций дети ходят в туристические походы, участвуют в экспедициях, бывают в лагерях и на слетах во многих городах России. В зрительных залах бывшего Дома пионеров проводятся городские праздники и утренники. Источник фото: <a target=""_blank"" href=""https://vk.com/albums-31564922?z=photo-31564922_416075227/photos-31564922"" target=""_blank"">vk.com</a>"
"Москва , ул. Профсоюзная, 61",74953333538,gbuk@meridiancentre.ru,https://vk.com/meridiancentre,Калужская ,,,http://www.meridiancentre.ru,4,Центр культуры и искусства «Меридиан»,https://www.2do2go.ru/uploads/0ef790c337922c59091354a71941e966_w500_h500.jpg,"Каждый сезон в ЦКИ «Меридиан» отмечен появлением совершенно новых ярких и уникальных проектов. Невероятно насыщенная культурная программа из фестивалей и конкурсов, интерактивных лекций и мастер-классов заинтересует не только детей, но и взрослых. «Меридиан» – это творческая площадка, созданная специально для жителей Москвы и Московской области. В творческих мастерских и студиях центра занимается более 3 000 детей и взрослых. Здесь каждый найдет увлечение по душе. Малышей и их родителей ждут в клубах по интересам. Все желающие могут понаблюдать за сражениями великих армий вселенной Warhammer и увидеть миниатюрные боевые машины, созданные участниками Танкового клуба «Москва», а также познакомиться с настольными военно-стратегическими играми.   Для представителей всех поколений создан клуб выходного дня «Art Weekend». Это занимательные мастер-классы, приключенческие квесты, веселые конкурсы, интересные спектакли. Клуб «Art Weekend» был придуман специально тех, кто мечтает сделать свой досуг интересным и познавательным. Также в «Меридиане» существует экспозиционное пространство, которое не ограничивается Выставочным залом. Картины и инсталляции, созданные художниками, органично «вплетаются» в интерьеры культурного центра. Фойе и зимний сад уже невозможно представить без этих ярких акцентов. В учреждении проходят уникальные экспозиции, среди которых: выставочные проекты «Армия на ладони», «Вторая жизнь дерева» и «День Победы». "
"Москва , г. Подольск, ул. Свердлова, 38",74967547401,info@dk-october.ru,https://vk.com/public78669639,"<a href=""tel:74967547401""",,,http://dk-october.ru,5,Дворец культуры «Октябрь»,https://www.2do2go.ru/uploads/bc65877ba78078aa477d4a93d9f6a212_w500_h500.jpg,"Дворец культуры «Октябрь» образован в 1975 году. С 1998 года — Дворец культуры является Муниципальным учреждением культуры. Директор — заслуженный работник культуры Московской области Морозов Владимир Иванович.<br /><br />Во Дворце культуры «Октябрь» проходят не только городские и районные, но и всероссийские, областные мероприятия, такие как «Губернаторская елка», областные фестивали искусств, молодежные форумы, губернаторский фестиваль-конкурс патриотической песни «С чего начинается Родина», финал областного конкурса молодых семей «Семь + Я», московский областной конкурс «Лучший руководитель муниципальной организации культуры» и др. Формы работы с населением используются самые разнообразные:"
"Москва , ул. Малая Пироговская, 29 data-reactid=""675"">Спортивная data-reactid=""681""><a href=""tel:+74950889281"" data-reactid=""682"">+74950889281</a> data-reactid=""685""><a href=""mailto:arhe.msk@gmail.com"" data-reactid=""686"">arhe.msk@gmail.com</a> data-reactid=""689""><a href=""https://arhe.msk.ru"" target=""_blank noopener noreferrer"" data-reactid=""690"">arhe.msk.ru</a> data-reactid=""693""> 300 руб.",+74950889281,arhe.msk@gmail.com,https://vk.com/kpc_arhe,"Спортивная  <div class=""social-links""",,,https://arhe.msk.ru,6,Культурно-просветительский центр «Архэ» ,https://www.2do2go.ru/uploads/bcc68726a4d0f82b35f200c3ae7afe14_w500_h500.jpg,"Популяризация науки и культуры, распространение знаний и обмен информацией являются острыми проблемами современного российского общества. Несмотря на то, что в Москве существует немалое количество культурных центров и образовательных площадок, это количество не восполняет все возрастающей потребности. И это не говоря уже о всей стране. К тому же, существует определенная проблема в разобщенности подобных площадок. Более выигрышной является направленность на объединение и тесное сотрудничество, взаимопомощь. Центр «Архэ» и может стать подобной объединяющей организацией, которая будет осуществлять связь и оперативное информирование деятельности и проблем других культурных и научных просветительских проектов. Организаторы хотят создать в центре территорию живого интеллектуального общения. Причем без возрастных рамок. Они хотят заинтересовать и поддерживать этот интерес у детей, помогать развивать, заполнять пробелы в образовании, поддерживать потребность в самообразовании у молодежи и взрослого населения столицы. Решающим моментом является помощь в формировании гармонично развитой личности. В связи с этим создатели «Архэ» надеются избежать крена в науку или искусство. И то, и другое занимает равнозначное место в структуре мероприятий центра."
"Москва , проезд Щелковский 2-й, д 7",74954070612,leonidowka2011@yandex.ru,https://vk.com/leonidowka,"<a href=""tel:74954070612""",,,,7,Культурно-информационный центр «Леонидовка»,https://www.2do2go.ru/uploads/56d3c54e9affe12bafc180423ccab3c3_w500_h500.jpg," МБУК «Культурно-информационный центр «Леонидовка» – учреждение культуры, целями которого являются: создание единого культурно-информационного пространства для гармоничного развития личности; организация досуга для жителей города Мытищи (дети, подростки, ветераны, инвалиды, многодетные семьи, взрослое население); создание и организация работы любительских творческих коллективов, студий, кружков, любительских объединений и клубов по интересам различной направленности.   В центре постоянно проводятся культурно-массовые мероприятия, различные по форме и содержанию, посвященные праздничным и знаменательным датам, имеющие познавательный и эстетический характер.   Творческие коллективы КИЦ «Леонидовка» участвуют во всех крупных мероприятиях города, на областных, всероссийских и международных конкурсах и фестивалях, представляют городской округ Мытищи. Работают следующие кружки:  Также в КИЦ с детьми работает логопед, преподается английский язык, организована Школа модели и эстетики, стартовали занятия гармоничного развития для малышей «Топотушки», для деток постарше – «Развивайка»."
"Москва , ул. Ордынка Б., 46",,,,"<a href=""http://www.aav.center"" target=""_blank noopener noreferrer""",,,http://www.aav.center,8,Культурный центр Андрея Вознесенского,https://www.2do2go.ru/uploads/c19ebf8ebb6cc98d0b9311377e575a81_w500_h500.jpg,"Культурный центр Андрея Вознесенского – современное пространство, играющие важную роль в культурной жизни Москвы. Миссия центра – не только сохранение памяти о Вознесенском и популяризация его наследия, но и осмысление его творчества в современных плоскостях искусства, поиск новых интерпретаций в литературе, музыке, живописи и скульптуре. Для исследователей и поклонников творчества Вознесенского будет предоставлен доступ к архивным материалам.  В пространстве Культурного центра – библиотека-медиатека, кинолекторий, образовательная мультимедийная зона, магазин с книжной и сувенирной продукцией. Все пространство ведет посетителя через поэзию Вознесенского. Для более полного погружения посетителя ждут интерактивные блоки, уникальный видеоконтент, современное прочтение Вознесенского.  На втором этаже разместилась экспозиция «Парабола». Здесь посетители смогут узнать о судьбоносных встречах поэта, легендарных персонажах, прошедших через жизнь и творчество Вознесенского.  В программе центра – масштабные мероприятия, кинопоказы, творческие вечера, воспроизводящие атмосферу знаменитых поэтических чтений. "
"Москва , мкр Львовский, ул. Горького, 5",,dkmetallurg@yandex.ru,https://vk.com/dk.metallurg,"из г. Подольска – автобусы №№ 51, 52 и 61; из г. Чехова – автобус № 61; ст. «Львовская» ",,,http://www.metallurg-dk.ru,9,Дом культуры «Металлург» мкр. Львовский,https://www.2do2go.ru/uploads/9a5602d02b577f5705a9d9b69a66cbbe_w500_h500.jpg," Дом культуры  «Металлург» начал свое существование в 1974 году. Он всегда являлся и остается до сих пор центром культурной жизни микрорайоне Львовский городского округа Подольск. В его стенах ведут свою работу семь хореографических коллективов, три из которых имеют звания «Народный» и «Образцовый»; три вокальных кружка, Народный хор ветеранов и три декоративно-прикладных студии.  Ежегодно ДК проводит более 150 мероприятий, которые посещают более 20 тысяч человек. Это различные концерты, дискотеки, мастер-классы, кинопоказы, игротеки, народные гуляния, литературные вечера и многое другое."
