id,name,site_buy,date,town,price,age,img_url,content,id_cultural
0,Выставка «Разрезая стены»,0,30 апреля 2020,Москва,0,12+,https://www.2do2go.ru/uploads/902931e92d01669560835d6dc96ec273_w500_h500.jpg,"Персональная выставка Игоря Поносова «Разрезая стены» обобщает многолетний опыт работы и взаимодействия художника с объектами городской среды. Вдохновляясь брутальными архитектурными формами и несуразным сочетанием материалов на улицах (рекламные баннеры, фальшфасады), Игорь Поносов осмысляет рутинную повседневность города посредством своих мимикрий и интервенций, имеющих ярко выраженный перформативный характер.  В экспозицию включены фото- и видеодокументации взаимодействий с городской средой, а также графика, коллажи и фотографии, отражающие осмысление городских контекстов России, Германии и Эстонии. Представленные на выставке работы выполнены автором в период с 2015 по 2020 годы и объединены общей темой поглощения человека современной урбанизированной средой. Узнать подробности вы можете на <br />",0
1,Выставка «Живопись минус»,https://fabrika-events.timepad.ru/event/1266160/,29 марта 2020,Москва,0,6+,https://www.2do2go.ru/uploads/735a328ea3340c62be8fc5b07ebdf070_w500_h500.jpg,"Марат Гельман снова обращает внимание на бывшую «царицу искусств» и показывает работы художников, сознательно обращающихся к живописи и обедняющих свой традиционный художественный язык. Под названием «Живопись минус» куратор понимает сопротивление салону с одной стороны и стремление удержаться от дизайнерского подхода и минималистского искусства с другой стороны: «К 2020 году, когда многие технологии достигли совершенства, жидкокристаллические экраны и мощные проекторы преображают выставочное пространство, когда вокруг разговоры об искусственном интеллекте, и мир в ожидании сингулярности, в Москве вдруг обнаружилось много таких «диссидентов дизайна», упорно ищущих в живописи минус – новые возможности для художественного высказывания».  <b>Художники</b>: Семен Агроскин, Виктор Алимпиев, Юрий Альберт, Алладин Гарунов, Аня Желудь, Людмила Константинова, Анна, Егармина, Земляникина, Иван Лунгин, Иван Новиков, Вика Шумская, Хаим Сокол, Александр Сигутин, Виктор Фрейденберг.  Открытие 5 марта в 19:00. Подробнсоти – на .",0
2,День рождения «Фабрики»,0,31 января 2020,Москва,0,0+,https://www.2do2go.ru/uploads/1a65dc11254622dffc7b0de4a1d94f03_w500_h500.jpg,"Праздник начнется с открытия новых выставок: в зале «Оливье» и «Артхаус» проекты представят Александра Кузнецова и Лиза Ольшанская. Художницы покажут работы, которые создали в фабричных мастерских в 2019 году. В Цехе Отделки состоится открытие выставки Юлии Неронска «Тайная жизнь ковра-самолёта». Юлия создаст инсталляцию и покажет серию фотографий, образующих сюжетное искусство, в котором настенный ковёр становится самобытным персонажем. В зале «Оливье» в 20:00 пройдет объявление лауреатов программы «Фабричные мастерские. Сессия VII» – конкурса для художников от 35 до 50 лет. Ставший уже традиционным для «Фабрики» проект в 2020 году также празднует день рождения – уже пять лет, начиная с 2015 года, сессионная часть конкурса обеспечивает поддержкой российских mid-career artist. Экспертный совет каждый год отбирает лауреатов в нескольких номинациях, предоставляя возможность получить мастерскую, показать персональную выставку и напечатать свои работы в студии «Пиранези LAB». Узнать подробности вы можете на.",0
3,Выставка «Скрытый контент»,0,19 января 2020,Москва,0,16+,https://www.2do2go.ru/uploads/a04f6b92d240df154d4970666e7c93cc_w500_h500.jpg,"Конец года – традиционное время подведения итогов, и, пожалуй, самое подходящее для демонстрации проекта «Скрытый контент»: художник Степан Краснов подводит итоги в живописной форме.<br /> «Скрытый контент» – это иллюстрация повседневности, в которой мы всё чаще сталкиваемся с цензурой, через метафорическую призму неопуантилизма. Запреты концертов и фильмов, разгоны мирных митингов и показательные уголовные преследования их участников. За нас пытаются решить, какую музыку слушать и какие фильмы смотреть, какую информацию нам можно потреблять, а какую скрывать. Неопуантилизм, в стилистике которого выполнена серия, определенным образом кодирует изображения, смещая фокус восприятия. Размывая какие-то важные моменты, делая их менее заметными. Тем не менее нам удаётся считать нарратив живописных работ. Таким же образом происходит ориентирование в информационном поле. Узнать подробности вы можете на .",0
4,Выставка «Дым и шоколад»,https://fabrika-events.timepad.ru/event/1211968/,8 января 2020,Москва,0,6+,https://www.2do2go.ru/uploads/6e24684c7badaa9aa620db8f1a531c7c_w500_h500.jpg,"В 2018 году группа «Войти и разрешить» приняла участие в проекте, который проходил в Кенозерском национальном парке, вместе со шведской группой Raketa: «Мы оказались в непонятной ситуации, когда мы не понимали, кто мы по отношению к группе, к местным жителям, к природе». На выставке исследователи хотят обозначить свою позицию, найти себя в системе координат по отношению к той ситуации, в которой оказались.  Через обозначение важных для них мест, схематизацию опыта группа хочет уйти от представления севера как красивых пейзажей и обратиться к тому, что происходит внутри: к «бесхозности» местных жителей, оказавшихся после закрытия лесосплава под управлением заповедника, к ненужности прошлого, которое хранится в ящиках на чердаках домов, к себе как чужакам, приехавшим, чтобы делать что-то, даже не понимая что, и существующих в выдуманном пространстве, никак не соотносящимся с реальной ситуацией. Участники: Анна Козловская, Татьяна Миронова, Наталья Смолянская, Дима Филиппов. Узнать подробности вы можете на ",0
5,Программа «Летняя творческая резиденция. Театр»,https://v-v-v.ru/summer_shift/programma-teatr/,28 августа 2020,Москва,12500,6+,https://www.2do2go.ru/uploads/df8f99730b8b82f75a85ef1efe9c88fd_w500_h500.jpeg,"Каждый ребенок – неутомимый исследователь! Пять творческих резиденций погрузят детей в разные культурные контексты: танец, театр, арт, наука и история. В августе в культурном центре «Вдохновение» юные исследователи смогут открыть для себя много нового в команде единомышленников. Программа «Театр» – многогранная, сложная и увлекательная жизнь, которая не ограничивается сценой. Самое интересное происходит за кулисами. Основы сценического движения и речи, изготовление реквизита, навыки актёрского мастерства, а также беседы о стилях, эпохах, видах театра...  Подробную информацию можно узнать по .",0
6,Программа «Летняя творческая резиденция. Танец»,https://v-v-v.ru/summer_shift/programma-tanec-2/,28 августа 2020,Москва,12500,6+,https://www.2do2go.ru/uploads/589a909628e127e4ff08c0a23b2cd610_w500_h500.jpeg,"Каждый ребенок – неутомимый исследователь! Пять творческих резиденций погрузят детей в разные культурные контексты: танец, театр, арт, наука и история. В августе в культурном центре «Вдохновение» юные исследователи смогут открыть для себя много нового в команде единомышленников.  «Танец» – программа современных направлений в танце: хип-хоп, брейк, джем, дэнсхолл, диско, латина, джаз-фанк. За две недели ребёнок изучит танцевальные связки. Но это верхушка айсберга, а под ней – ежедневная работа по физической подготовке: акробатика, гимнастика, постановка трюков. А в перерывах между танцами ребята будут развивать коммуникативные навыки, укреплять связи внутри команды и учиться доверять партнёрам. Подробную информацию можно узнать по </strong>.",0
7,Программа «Летняя творческая резиденция. Наука»,https://v-v-v.ru/summer_shift/programma-nauka/,28 августа 2020,Москва,12500,6+,https://www.2do2go.ru/uploads/142091879616ae7514c10ddb176c4a6e_w500_h500.jpeg,"Каждый ребенок – неутомимый исследователь! Пять творческих резиденций погрузят детей в разные культурные контексты: танец, театр, арт, наука и история. В августе в культурном центре «Вдохновение» юные исследователи смогут открыть для себя много нового в команде единомышленников. «Наука» – любопытство не грех, а двигатель науки. В рамках программы ребята будут развивать научное мышление, искать ответы на вопросы, изобретать приборы и ставить эксперименты. Кураторы смены научат анализировать информацию, ставить цели, планировать задачи и принимать решения.  Подробную информацию можно узнать по </strong>.",0
8,Программа «Летняя творческая резиденция. Арт»,https://v-v-v.ru/summer_shift/programma-art/,14 августа 2020,Москва,12500,6+,https://www.2do2go.ru/uploads/5dd964d619f6b6b62eca1fdcfad04d04_w500_h500.jpeg,"Каждый ребенок – неутомимый исследователь! Пять творческих резиденций погрузят детей в разные культурные контексты: танец, театр, арт, наука и история. В августе в культурном центре «Вдохновение» юные исследователи смогут открыть для себя много нового в команде единомышленников. Программа «Арт» – это место и время для творческих людей, в котором они воплощают в реальность свои мечты. На смене дети выражают себя через холсты и краски, учатся работать с цветом, текстурами и формами, развивают воображение, раскрывают творческий потенциал. На арт-смене дети познакомятся с искусством скульптуры, рисованием в различных техниках, дизайном одежды, создадут коллажи и свои первые плакаты в стиле леттеринг. Подробную информацию можно узнать по .",0
9,Программа «Летняя творческая резиденция. Танец»,https://v-v-v.ru/summer_shift/programma-tanec/,14 августа 2020,Москва,12500,6+,https://www.2do2go.ru/uploads/867f2d34ce40f6acb7334a3152152156_w500_h500.jpeg,"Каждый ребенок – неутомимый исследователь! Пять творческих резиденций погрузят детей в разные культурные контексты: танец, театр, арт, наука и история. В августе в Культурном центре «Вдохновение» юные исследователи смогут открыть для себя много нового в команде единомышленников.  Вас ждет программа современных направлений в танце: хип-хоп, брейк, джем, дэнсхолл, диско, джаз-фанк. За две недели ребенок изучит танцевальные связки. Но это верхушка айсберга, а под ней – ежедневная работа по физической подготовке: акробатика, гимнастика, постановка трюков. А в перерывах между танцами вы будете развивать коммуникативные навыки, укреплять связи внутри команды и учиться доверять партнерам. Подробную информацию вы можете узнать .",0
