id_library,name,type,region,location,adress,latitude,longitude,number,site,email,social_networks,time_work,img_url,content
0,Российская государственная библиотека,Библиотека,Москва,Москва,"г. Москва, ул. Воздвиженка, д. 3/5",55.75164711970002,37.60871171951294,+7 (499) 557-04-70,http://www.rsl.ru,post@rsl.ru,http://vk.com/leninka_ru https://www.facebook.com/Leninka.ru https://www.instagram.com/leninka_official,"пн: 09:00 - 20:00, вт: 09:00 - 20:00, ср: 09:00 - 20:00, чт: 09:00 - 20:00, пт: 09:00 - 20:00, cб: 09:00 - 20:00, вс: выходной",https://b1.culture.ru/c/305358.jpg,"Российская государственная библиотека – крупнейшая библиотека России, вторая по величине в мире. Основана в 1862 году, входила в состав Московского публичного и Румянцевского музеев. С момента образования получает обязательные экземпляры всех изданий, выпускающихся на территории нашей страны. 24 января 1924 года была переименована в Российскую библиотеку имени В. И. Ленина. 6 февраля 1925 года преобразована в Государственную библиотеку СССР им. В. И. Ленина, с 22 января 1992 года носит название Российская государственная библиотека. Сейчас в фондах РГБ хранится более 47 миллионов книг, документов и артефактов. В год библиотеку посещает больше 800 тысяч человек, ежегодно выдаётся около 100 тысяч новых читательских билетов. В РГБ 36 читальных залов, в которых может работать одновременно больше полутора тысяч человек. Читателем библиотеки может стать любой гражданин России или другого государства, которому исполнилось 14 лет.  В конце 2014 года решением Министерства культуры РФ Российская государственная библиотека была назначена оператором Национальной электронной библиотеки. НЭБ – это современный проект, цель которого – свободный доступ читателей к фондам ключевых российских библиотек через единый портал и поисковую систему. С января 2017 года РГБ стала получателем обязательного экземпляра печатных изданий и диссертаций в электронной форме. Библиотека развивается и ищет новые формы взаимодействия с читателем. Лучшее и самое интересное из фондов демонстрируется на выставках. В 2016 году в РГБ открылось новое – музейное – пространство для крупных выставок – Ивановский зал. Каждая экспозиция сопровождается лекционной и экскурсионной программой. С экскурсиями можно посетить и книгохранилище, Дом Пашкова, Музей книги, пройти по главному зданию. На традиционных акциях Библионочь , Библиодень и День открытых дверей с работой библиотеки могут познакомиться и специалисты, и все желающие."
1,Политехническая библиотека,Библиотека,Москва,Москва,"г. Москва, Волгоградский пр-кт., д. 42",55.709282,37.721687,+7 (495) 780-60-26,https://polymus.ru/ru/museum/library,cz1@polymus.ru,,"пн: выходной, вт: 10:00 - 16:00, ср: выходной, чт: 10:00 - 16:00, пт: выходной, cб: выходной, вс: выходной",https://b1.culture.ru/c/305352.jpg,"В 2013 году после закрытия исторического здания Политехнического музея на реконструкцию библиотечный фонд был временно перевезен в специальные помещения, расположенные на территории бывшего АЗЛК «Москвич», в новом российском центре инновационного производства Технополис «Москва». В январе 2014 года на территории библиотеки снова открылся читальный зал, начал функционировать Межбиблиотечный абонемент и обменный фонд. Библиотека продолжает оказывать комплекс информационных и справочно-библиографических услуг на основе использования уникального фонда, справочно-поискового аппарата библиотеки, включающего традиционные и электронный каталоги. Библиотека Политехнического музея, основанная в 1864 г., является одной из старейших научно-технических библиотек в России и входит в состав Политехнического музея как самостоятельное структурное подразделение.  Ее фонд насчитывает 3,5 миллиона изданий на русском и иностранных языках. Библиотека наиболее полно собирает отечественные и зарубежные издания по технике, естественным наукам и музееведению, а также литературу по экономике промышленности, науке и науковедению, библиотечному делу, библиотековедению, библиографии, библиографоведению и книговедению. Выборочно представлена литература по общественным и гуманитарным дисциплинам. Библиотека имеет специализированный фонд нормативно-технических и технических документов (стандарты, общероссийские классификаторы Госстандарта России, технические регламенты, каталоги промышленного оборудования, материалов и изделий, технические условия и т.д.)."
2,Государственная публичная научно-техническая библиотека России,Библиотека,Москва,Москва,"г. Москва, ул. Хорошёвская 3-я, д. 17",55.783428,37.49979400000001,+7 (495) 698-93-05,http://www.gpntb.ru,gpntb@gpntb.ru,https://new.vk.com/gpntb.russia https://www.facebook.com/gpntb.russia,"пн: 10:00 - 20:00, вт: 10:00 - 20:00, ср: 10:00 - 20:00, чт: 10:00 - 20:00, пт: 10:00 - 20:00, cб: 10:00 - 17:00, вс: выходной",https://b1.culture.ru/c/280639.jpg,"Государственная публичная научно-техническая библиотека России (ГПНТБ России) создана Постановлением Совета Министров № 1154 от 17 марта 1958 года на базе Государственной научной библиотеки Минвуза СССР. Библиотека является подведомственной организацией Министерства образования и науки Российской Федерации.<br /> Государственная публичная научно-техническая библиотека России – крупнейшая научно-техническая библиотека в стране, научно-исследовательский институт и информационный центр федерального значения. Основная цель и задачи библиотеки – формирование и хранение фонда отечественной и зарубежной научно-технической литературы, библиотечно-информационное и справочно-библиографическое обслуживание читателей, организаций, учреждений и предприятий Российской Федерации и зарубежных стран, разработка и внедрение современных автоматизированных библиотечно-информационных технологий. ГПНТБ России обладает уникальными фондами изданий в области естественных и прикладных наук, техники, технологии, машиностроения, экологии, экономики: около 8 млн единиц хранения, в том числе 1,7 млн на микроносителях; ежегодные поступления составляют свыше 70 тыс. экземпляров. <br />"
3,Российская государственная библиотека для молодёжи,Библиотека,Москва,Москва,"г. Москва, ул. Черкизовская Б., д. 4",55.79594835568496,37.71835505962372,+7 (499) 922-66-77 (для справок),http://www.rgub.ru,info@rgub.ru,http://vk.com/rgubru https://www.facebook.com/rgub.ru https://www.instagram.com/rgubru https://www.youtube.com/rgubru https://twitter.com/rgub,"пн: 11:00 - 22:00, вт: 11:00 - 22:00, ср: 11:00 - 22:00, чт: 11:00 - 22:00, пт: 11:00 - 22:00, cб: 12:00 - 20:00, вс: 12:00 - 20:00 (последняя пятница месяца – санитарный день)",https://b1.culture.ru/c/305236.jpg,"Российская государственная библиотека для молодежи – самая крупная в стране библиотека, ориентированная на эту возрастную категорию, одна из восьми российских библиотек федерального уровня. Однако посещать ее могут все граждане старше 14 лет независимо от места проживания. В фонде РГБМ – около 900 тыс. изданий, в том числе свыше 650 тыс. экземпляров книг и журналов (ок. 500 названий). Пользователям доступны более 1 000 CD и DVD с аудиокнигами, 400 видеофильмов, 35 тыс. грампластинок, 36 тыс. нот. Всем приходящим в библиотеку обеспечен доступ к ресурсам интернета и электронным библиотекам (свыше 1 млн изданий) как с библиотечных компьютеров, так и – благодаря бесплатному Wi-Fi – со своих ноутбуков. На базе технологии RFID (англ. Radio Frequency IDentification – радиочастотная идентификация) организован полный цикл читательского самообслуживания при получении и сдаче изданий. Круглосуточно работает станция возврата книг, расположенная на внешней стене здания у входа в библиотеку. Обратите внимание! Вход в библиотеку абсолютно свободный для всех независимо от того, являются они зарегистрированными ее пользователями или нет. В вестибюле библиотеки расположена Зона лобби, открытая для доступа населения с 9:00 ежедневно. Здесь – еще до открытия библиотеки – можно воспользоваться ксероксом/сканером в режиме самообслуживания, информационным киоском, на котором размещен электронный каталог с возможностью получения распечатки списка изданий."
4,Российская государственная библиотека искусств,Библиотека,Москва,Москва,"г. Москва, ул. Дмитровка Б., д. 8/1",55.76091981485977,37.61591881513596,"+7 (495) 692-06-53 (секретарь, научно-методический отдел)",http://www.liart.ru,bisk@liart.ru,http://vk.com/artlibrary https://www.facebook.com/liart.ru,"пн: 11:00 - 19:00, вт: 11:00 - 19:00, ср: 11:00 - 19:00, чт: 11:00 - 21:00, пт: 11:00 - 19:00, cб: 11:00 - 19:00, вс: выходной",https://b1.culture.ru/c/524319.jpg,"Российская государственная библиотека искусств (РГБИ) – крупнейшая публичная специальная библиотека в области искусства, обладающая ценными собраниями книг, периодических изданий, иконографических материалов. Богатство фондов и электронных информационных ресурсов, современная техническая оснащенность, уровень библиотечного сервиса делают сегодня РГБИ ведущей в своей сфере.</span> Библиотека создана в 1922 году по инициативе выдающегося театрального педагога, декана театральной школы Малого театра, крупного театроведа, профессора А. А. Фомина, ставшего первым директором библиотеки.  РГБИ сегодня является базовым ресурсом для сохранения, изучения и развития культуры, искусства, гуманитарных дисциплин. Фонд библиотеки насчитывает около 2 миллионов единиц хранения. РГБИ востребована профессиональными читателями – режиссерами, актерами, художниками, архитекторами, дизайнерами. Библиотека является для них творческой лабораторией, в которой немаловажную роль играют сотрудники РГБИ. Среди читателей библиотеки искусствоведы, театроведы, киноведы, исследователи. Большая часть читательской аудитории РГБИ – студенты творческих и гуманитарных вузов, колледжей. "
5,Всероссийская государственная библиотека иностранной литературы имени М. И. Рудомино,Библиотека,Москва,Москва,"г. Москва, ул. Николоямская, д. 1",55.748552981563236,37.64792561531067,+7 (495) 915-36-41,http://www.libfl.ru,,,"пн: 11:00 - 21:00, вт: 11:00 - 21:00, ср: 11:00 - 21:00, чт: 11:00 - 21:00, пт: 11:00 - 21:00, cб: 11:00 - 19:00, вс: 11:00 - 19:00",https://b1.culture.ru/c/545514.jpg,"С 1990-го года библиотека носит имя своей основательницы – Маргариты Ивановны Рудомино. В настоящее время библиотека располагает уникальными фондами иностранной литературы широкого гуманитарного профиля, насчитывающими на конец 2015 года около 4,5 млн. экз., включая книги и периодические издания на более чем 140 языках мира. Основой фонда является собрание мировой классической и современной литературы на языке оригинала, а также иностранные издания по литературоведению и языкознанию, в том числе по методике преподавания языков, книги по зарубежному искусству и искусствоведению, исторические труды и работы по страноведению. В составе библиотечных фондов свыше 2,5 млн. периодических изданий, в фондах библиотеки иностранной литературы неуклонно растет число изданий на электронных носителях.  Для самых юных читателей библиотеки открыт «Отдел детской книги и детских программ», в котором можно посетить кружки по изучению иностранных языков, истории литературы, искусства и страноведению.  В библиотеке проходят различные культурные мероприятия, семинары, выставки и конференции."
6,Государственная публичная историческая библиотека России,Библиотека,Москва,Москва,"г. Москва, Старосадский пер., д. 9",55.756214,37.640048,+7 (495) 625-48-31,http://www.shpl.ru,info@shpl.ru,http://vk.com/public29917396 https://www.facebook.com/pages/ГПИБ-России-историческая-библиотека/189599041116894,"пн: 09:00 - 21:00, вт: 09:00 - 21:00, ср: 09:00 - 21:00, чт: 09:00 - 21:00, пт: 09:00 - 21:00, cб: 10:00 - 18:00, вс: выходной",https://b1.culture.ru/c/305214.jpg,"Государственная публичная историческая библиотека России – крупнейшая в России специализированная научная библиотека в области истории. Доступна для всех желающих с 18 лет, сюда могут записаться студенты с первого курса. Начало библиотеки было положено русским коллекционером и общественным деятелем А. Д. Чертковым. В 1863-1872 годах бесплатная общедоступная Чертковская библиотека помещалась в особняке Чертковых на Мясницкой улице. После пожертвования городу Москве Городская публичная Чертковская библиотека находилась в здании Румянцевского музея, с 1887 года включена в состав Библиотеки Исторического музея. Под настоящим названием библиотека существует с 1938 года. С апреля 2014 года в состав ГПИБ входит филиал – Центр социально-политической истории (ЦСПИ), созданный на основе реорганизованной Государственной общественно-политической библиотеки (бывшая Библиотека Института марксизма-ленинизма при ЦК КПСС). Фонды библиотеки насчитывают около шести млн экземпляров, ежедневно библиотеку посещают до 300 человек."
7,Центр социально-политической истории,Библиотека,Москва,Москва,"г. Москва, ул. Вильгельма Пика, д. 4",55.835984098960495,37.635244131088264,+7 (499) 181-17-05 (дежурный библиограф),http://www.shpl.ru/readers/centr_sotcialino_politicheskoy_istorii,1921@shpl.ru,http://vk.com/club43509875 https://www.facebook.com/pages/Центр-социально-политической-истории-ГПИБ-России/652855671498523,"пн: 10:00 - 18:00, вт: 10:00 - 18:00, ср: 10:00 - 18:00, чт: 10:00 - 18:00, пт: 10:00 - 18:00, cб: выходной, вс: выходной",https://b1.culture.ru/c/303515.jpg,"Центр социально-политической истории (ЦСПИ) – крупнейшее собрание специализированных изданий в области социальной и политической истории, филиал </span></span><span><span>Государственной публичной исторической библиотеки России</span></span><span><span>.</span></span><span><span style=""font-style:normal»""></span></span> <span><span>Основа фондов ЦСПИ –<span> </span>собрание библиотеки Института марксизма-ленинизма. С 1992<span> г. </span></span></span><span><span><span><span>–</span></span> Государственная общественно-политическая библиотека (ГОПБ). С 1 апреля 2014 г. согласно приказу Министерства культуры Российской Федерации ГОПБ была преобразована в Центр социально-политической истории (ЦСПИ) – филиал ГПИБ России.</span></span><span><span style=""font-style:normal»""></span></span> <span><span>Фонд ЦСПИ составляет более 2 500 тысяч печатных единиц, из них свыше 200 тысяч редких изданий. Центр располагает собранием книг, периодических изданий, редких листовок. Наибольшую научную и культурную ценность имеют коллекции книг, изданных в XVI-XIX веках, по экономической, социальной, политической и культурной истории стран Европы и Америки, а также по истории общественной и философской мысли, праву. <span> </span>ЦСПИ обладает наиболее полным в России собранием по истории мирового и отечественного социально-политических движений, а также </span></span><span><span style=""font-style:normal»""></span></span><span><span>наиболее полной коллекцией зарубежной литературы конца XIX – начала ХХ веков и российской периодики 20-х годов ХХ века.</span></span><span><span style=""font-style:normal»""></span></span>  <span><span>С 2014 года в ЦСПИ находится коллекция нетрадиционной печати ГПИБ России –<span> </span>крупнейшее собрание по истории общественно-политических движений России<span> </span>последней четверти </span></span><span><span>XX </span></span><span><span>века<span> </span></span></span><span><span><span><span><span>–</span></span></span> по настоящее время. </span></span><span><span style=""font-style:normal»""></span></span>"
8,Овальный зал Библиотеки иностранной литературы,Библиотека,Москва,Москва,"г. Москва, ул. Николоямская, д. 6",55.748017260804296,37.647748589515686,+7 (495) 915-36-41,http://www.libfl.ru,,,,https://b1.culture.ru/c/641496.jpg,
9,Центр восточной литературы РГБ,Библиотека,Москва,Москва,"г. Москва, ул. Моховая, д. 6-8",55.749952,37.609757,"+7 (499) 557-04-70 (добавочный 27-30)</div>, <div class=""attributes_value"">+7 (800) 100-57-90",https://www.rsl.ru,cvl@rsl.ru,,"пн: 09:00 - 20:00, вт: 09:00 - 20:00, ср: 09:00 - 20:00, чт: 09:00 - 20:00, пт: 09:00 - 20:00, cб: 09:00 - 20:00, вс: выходной",https://b1.culture.ru/c/820070.jpg,"Центр восточной литературы Российской государственной библиотеки расположился в бывшей усадьбе Шаховских, построенной в конце XVII – начале XVIII века.  ЦВЛ специализируется на работе с изданиями на языках стран Азии и Африки; наряду с традиционной библиотечной деятельностью проводит культурно-просветительские мероприятия, направленные на популяризацию культуры стран Востока. Центр восточной литературы РГБ активно занимается организацией выставок, лекций, семинаров, круглых столов, конкурсов восточных языков совместно с посольствами стран Азии и Африки и российскими и международными образовательными, научными и общественными организациями. "
